user_id,friends
--UOvCH5qEgdNQ8lzR8QYQ,"['DBHCFW3mSmmOEpONHVu1rQ', 'QPJJohtGqkMkaN0Gt3TRIg', 'FFFeLM5rk29RZn6FmGlHYQ', 'mXkmKZoDw1VIQm5kWBfPGw']"
-05T0q5BxB9g0RCKiGYoyQ,['V7uS5US4oTf-S9u36HJQCQ']
-0HhZbPBlB1YZx3BhAfaEA,"['uG35h72BAMutvXAWdRpqCQ', 'Sv48jgljDP-CRfXmU8uSgA', '40m0541Z_KexYkdvvqHJIQ', 'jtM-lajwSwW65wJRaMuFxg', '8H6X6GhJhYkcNHjuBjOU4w', 'l_yEb3Q-q7C5Eq1HReCrzw', '5Nf8EdeXKFyhcAUmRovsrg', 'D43OWyfzIQjL8feJpYh2SQ', 'TgW-w80-ketnwdUsjsAaNw']"
-1ZMRA0N01rqZL0TWk3fgA,['no2kFt4TEEzZDVaM8haSDA']
-267Yx8RmdP6io2-qI4UcQ,"['E3pXvQwKsPBQGQ7RkLrN3g', 'deL6e_z9xqZTIODKqnvRXQ', 'uG35h72BAMutvXAWdRpqCQ', 'n28qz1Lt9ROormO7eCooOg', 'jtM-lajwSwW65wJRaMuFxg', 'IyIsFkVY48JWa01inv-7zA', 'TOrRfYRFuxx0k9HH7OC6pQ', 'kzRq4H_nSf4b3F_sdymWSw', 'Wbf8pEcvJFUbIbi4KU5_DQ', 'A5A34ixb-yy6nwL42iZsnw', 'F2av57ztcbYiPADtT-YpdA', 'i_DR3vdE73nVm2GlMbGpGA', 'qewG3X2O4X6JKskxyyqFwQ', 'wnO99pBbGqwqOoTQM25iCw']"
-2CgKa8YdvPzPB16XSA8Fg,['pjrpGQtM2Au3hJfypEWA0g']
-2OB54nQ6FsGLUM-R1KXnA,"['lmEUPIf1nHb0opydm6Rsug', 'B-60XQ_fR72PevFzHM-ieQ', 'etU9P4_CgI4S79Ec5KHs9g', 'vNbr4JUZtIDB34xT-1n8ew', 'cKeMks0yFeItSlkUKnZW0w', 'fFPc6xeOebK1ns8qYuUfew', 'BkMqpJikNc3r5itc-ui6ww', '4wp4XI9AxKNqJima-xahlg', 'cCke3VtFLtqgzkgYSrSE2g', 'EDpARScG-X4LTTpeszVmWw', 'Lfv4hefW1VbvaC2gatTFWA', 'xhVlmdU1sPVH6GBJw6AZtQ']"
-3fMaL_ck0wzEsTZyz-mqA,"['lf1m4CbheuUR7fFZoLGRvA', 'AyYKTOCL5qM8589oBsqbfA']"
-5BaVHOAvLrc3u9VNj41-Q,['hMO1DPfuRiRPhHEBPpfl0Q']
-7IMRsmV-Gt7KAK3yivZGQ,"['qf2mm_oOG91ui01bCXmRyA', '7fDqaGdUMccXQ4bnPwR6yg']"
-7tHFKYVyfyQaIctzG1lEg,['M-Ph42ZBoMXIn9uUrDKsFA']
-83s33R6DAJKlc6C5Wqzwg,"['Q9mA60HnY87C1TW5kjAZ6Q', '3uWCWMWcrn8YSH_qBvlr6w', '4sGwJy5Oplz8QXLgD8dr2w']"
-8APNXHR8Zk3Pm43d1M4QQ,"['5Nf8EdeXKFyhcAUmRovsrg', 'tH0uKD-vNwMoEc3Xk3Cbdg']"
-8nmj3B-tfY_vFiimtBOsw,"['Wc5L6iuvSNF5WGBlqIO8nw', '41kMyI1BfOTyIIAenUSaTQ', 'CFB9glegliFCT7dJxdLNsA']"
-8syaSLDbMXW2F2FApVgig,"['JXHrhT72U6sZJQSkFfNzjw', 'KtIh1kjkVESCqd2CCsQnhA', 'y3FcL4bLy0eLlkb0SDPnBQ', 'K2-KRkqecWxmwqPHQWVZbA', 'Y8adrWFzckrjuC11aAs9Og', 'sEpOSEvfLgatlavQKYE7GA', 'bhmJrMRVc2sbk8XP00ravw', 'l_yEb3Q-q7C5Eq1HReCrzw', 'U0WU9d6gpMNkO_tPXK58Sg', 'C349hhMXsGVdxk6u-xf6GQ', '40m0541Z_KexYkdvvqHJIQ', 'DoRCeCcJbrsM2BiAKj3trA', 'YVQFzWm0H72mLUh-8gzd5w', 'eZZyuJDouIg4p-GYB3PV_A', 'QJMOgjRYeogK43kyfX6PKw', 'KbwOwQZTOfrtaeJdmucALQ', 'zgV0ZroIF956gw4cul8MHA', 'UCG-PGg-rI8DdxbO9-SDyA', 'k4M43lXJuQMpQW65DTqzIQ', '7Oe6ikklTjVBbEFw9emLcA', 'g8_8roieVRwGJVTpNOgbYw', 'C2C0GPKvzWWnP57Os9eQ0w', '4N-HU_T32hLENLntsNKNBg', 'wOSHvuJEJflUEesNLno51A', '5wT0vDycEzgq95yVCZ60Aw', 'owlUazXSDLaxlOV7z8181g', '0tvCcnfJnSs55iB6mqPk3w', 'TgW-w80-ketnwdUsjsAaNw', '8OeTLey-p-WaL9ErNEci1Q', 'lluNN1aQlFN7NQQ2BxFBUQ', 'epkRB3J_oBEiyiwahvdmGg', 'JlwWHBFT76iSJe5mWIcZ4A', 'eOIMO2wT_WbNqmavhnCRxw', 'HJj82f-csBI7jjgenwqhvw', 'EZzV8WIUGWJ7D-e5E7XdjQ', '8DBH3BpLINfTAK_Up5BtUQ', '29DWe8SD_RCeZ_A6ihxnhQ', 'M6uDHCxhZybBdngFuBmrHg', 'PomQayG1WhMxeSl1zohAUA', '3nDUQBjKyVor5wV0reJChg', 'cdCvHUFdssePxowTHIo3dQ', 'qewG3X2O4X6JKskxyyqFwQ', 'P9yweXls2Pg-EMipYr45XA', 'm4VAw2u8gHrANfXP7CW2mg', 'xhhE0txKwQtRzgQVVdKkvg', 'jbGIMoecQm9zG8Ppmx-Y-Q', 'j-1qkha4h87wMfNfwPvfqQ', 'XXKjsdglgwSs9kWtK6ZWUQ', 'A5A34ixb-yy6nwL42iZsnw', 'eZfHm0qI8A_HfvXScwIYsg']"
