user_id,friends
8fsZcLADFrPTbGrFqMACpg,"['lQGJcwX105k17081f6pulg', 'JcNSd3dXmIMVHP2CUpvMHA', 'bLbSNkLggFnqwNNzzq-Ijw', 'IGBilULpgNHfKitLfrs7Hw', '9Ms5wpxVloadWFvDbb77kg', '58IYRjxtf_E4XNUXysecdw', 'tH0uKD-vNwMoEc3Xk3Cbdg', 'UYcmGbelzRa0Q6JqzLoguw', 'epkRB3J_oBEiyiwahvdmGg', 'YwaKGmRNnSa3R3N4Hf9jLw', 'w7RP1MZad3YO7Vjgp3s3Dg']"
ZNZ7dxIsbHCbcbqTKQlUpg,['iDlkZO2iILS8Jwfdy7DP9A']
MmeVq6bWhogNpVPuEemrBA,"['NwaJgVXNKZsQMVsgs6SOnA', '40m0541Z_KexYkdvvqHJIQ']"
7aiIlfpcQZG7ea10R5i4RQ,"['Q4Qfu-3vYtL1LRm2X1b0Gg', 'PeLGa5vUR8_mcsn-fn42Jg']"
exEElE4pG-ZwoCMwoYddeg,"['SlgpAnj2gQd44EM_Uq6DkQ', '5jJjY5_R06Og56VfjIc66A', '2m2MNnlOdofofmUs-hYTJQ', 's4cki7AiOrOjb5r-ZpbJUw', 'jifM1TQWQNbbSfqWDc9o9g', 'o_2uSr6TMjyPQgFeUFJGsQ', '97Um412IhsolKdr8o-Qypg', 'u-NbxbNdh7GZGnwxXUitYg', 'I9aEZ-sv57GgJQWxMBKgww', 'Aciq1ddPC6jeQHLB0vZKVA', 'vbHlFP0Orx1mM5-uBqzYFg', 'hg9nHKYhRUSKWwgnXgn6Jg', '7PiRdxYF-Uvzn2fHqdtU1Q', 'w7RP1MZad3YO7Vjgp3s3Dg', 'Ry1O_KXZHGRI8g5zBR3IcQ', 'HFFiM63x9asevqVOZG5GBQ']"
FAjCZoxiGw9HJKueB8YWTg,"['tH0uKD-vNwMoEc3Xk3Cbdg', 'TgW-w80-ketnwdUsjsAaNw', 'bLbSNkLggFnqwNNzzq-Ijw']"
KBHTIaz-OdXukREefkP4qg,"['wffnrXJoLppOlvNOZKU70A', 'UDFIZXP0kOb2xKoYToTS6w', '8HLcBhTyEDLDOeu45JSAfQ']"
-HH9X240K3SaBq4xzWGrOg,['MQwSyZ2MZ6N7rtAmphZCow']
4DqsftnLlMydDjpfF7GIrw,['Hci2c0qo98CO-Pv-VmV7gg']
74sdrfg2SFhH3kAslZjjrg,"['rNjgVKaBh1PlUA6dYB6EUw', 'xhhE0txKwQtRzgQVVdKkvg', 'cRDQuBEgxaYQoSPHAiEgHQ', 'UYcmGbelzRa0Q6JqzLoguw', 'PL3qzPOMPE7GFm9iCki0yw']"
